"sampleID","param","error","scam_p","scam_u","quad_u","rmax_u","rmed_u","rprop_u","lines3_u","func"
1253,6,0.2,0.00199103397909706,1,1,1,1,1,0,"beta"
1257,6,0.2,0.000151099150266032,1,1,1,1,1,0,"beta"
1261,6,0.2,1.64556690882797e-05,1,1,1,1,1,0,"beta"
1265,6,0.2,9.04405339771752e-08,1,1,1,1,1,0,"beta"
1269,6,0.2,4.83778806901572e-05,1,1,1,1,1,0,"beta"
1273,6,0.2,4.80777311663708e-05,1,1,1,1,1,0,"beta"
1277,6,0.2,0.00223830345405077,1,1,1,1,1,0,"beta"
1281,6,0.2,0.00239228198528619,1,1,1,1,1,0,"beta"
1285,6,0.2,0.000297390139029752,1,1,1,1,1,0,"beta"
1289,6,0.2,6.70833202726141e-05,1,1,1,1,1,0,"beta"
1293,6,0.2,4.53120020042097e-06,1,1,1,1,1,0,"beta"
1297,6,0.2,2.13080017651608e-07,1,1,1,1,1,0,"beta"
1301,6,0.2,0.000124969196935433,1,1,1,1,1,0,"beta"
1305,6,0.2,6.04077181050228e-05,1,1,1,1,1,0,"beta"
1309,6,0.2,0.000557906297806874,1,0,1,1,1,0,"beta"
1313,6,0.2,0.00315604472557048,1,1,1,1,1,0,"beta"
1317,6,0.2,5.53298521996387e-06,1,1,1,1,1,0,"beta"
1321,6,0.2,4.54227080225814e-06,1,1,1,1,1,0,"beta"
1325,6,0.2,0.000485364085391034,1,1,1,1,1,0,"beta"
1329,6,0.2,4.96013963120188e-06,1,1,1,1,1,0,"beta"
1333,6,0.2,4.36774963484147e-05,1,1,1,1,1,0,"beta"
1337,6,0.2,0.00134948583516409,1,1,1,1,1,0,"beta"
1341,6,0.2,9.77725477154231e-14,1,1,1,1,1,0,"beta"
1345,6,0.2,3.1320627252032e-06,1,1,1,1,1,0,"beta"
1349,6,0.2,0.00113180884209509,1,1,1,1,1,0,"beta"
1353,6,0.2,0.000400306052946033,1,1,1,1,1,0,"beta"
1357,6,0.2,0.000251513081104075,1,1,1,1,1,0,"beta"
1361,6,0.2,0.0033747333769657,1,1,1,1,1,0,"beta"
1365,6,0.2,5.42547671998095e-06,1,1,1,1,1,0,"beta"
1369,6,0.2,5.34701012208506e-05,1,1,1,1,1,0,"beta"
1373,6,0.2,2.45196984250423e-05,1,1,1,1,1,0,"beta"
1377,6,0.2,0.000111837835611679,1,1,1,1,1,0,"beta"
1381,6,0.2,0.000118777403995272,1,1,1,1,1,0,"beta"
1385,6,0.2,0.0014485928131519,1,1,1,1,1,0,"beta"
1389,6,0.2,0.00189590195382958,1,1,1,1,1,0,"beta"
1393,6,0.2,3.15672245327355e-05,1,1,1,1,1,0,"beta"
1397,6,0.2,6.83818612523453e-05,1,1,1,1,1,0,"beta"
1401,6,0.2,9.37710687778492e-05,1,1,1,1,1,0,"beta"
1405,6,0.2,9.3629594247153e-05,1,1,1,1,1,0,"beta"
1409,6,0.2,1.34675831129555e-05,1,1,1,1,1,0,"beta"
1413,6,0.2,0.000206426829241035,1,1,1,1,1,0,"beta"
1417,6,0.2,0.0141875265427081,1,1,1,1,1,0,"beta"
1421,6,0.2,9.50270647270963e-06,1,1,1,1,1,0,"beta"
1425,6,0.2,8.38507667013829e-06,1,1,1,1,1,0,"beta"
1429,6,0.2,3.41999942587257e-06,1,1,1,1,1,0,"beta"
1433,6,0.2,0.000684796373523654,1,1,1,1,1,0,"beta"
1437,6,0.2,1.58566756905453e-10,1,1,1,1,1,0,"beta"
1441,6,0.2,0.00241987307699619,1,1,1,1,1,0,"beta"
1445,6,0.2,0.00255228111165332,1,1,1,1,1,0,"beta"
1449,6,0.2,6.31742186792796e-05,1,1,1,1,1,0,"beta"
1453,6,0.2,4.18577141644354e-05,1,1,1,1,1,0,"beta"
1457,6,0.2,8.26649434323773e-05,1,1,1,1,1,0,"beta"
1461,6,0.2,1.03395144505281e-05,1,1,1,1,1,0,"beta"
1465,6,0.2,0.000229064140918448,1,1,1,1,1,0,"beta"
1469,6,0.2,3.08078884142386e-05,1,1,1,1,1,0,"beta"
1473,6,0.2,0.000213518214242876,1,1,1,1,1,0,"beta"
1477,6,0.2,5.13996880745843e-06,1,1,1,1,1,0,"beta"
1481,6,0.2,8.76452090453934e-06,1,1,1,1,1,0,"beta"
1485,6,0.2,0.000146852941588708,1,1,1,1,1,0,"beta"
1489,6,0.2,0.00018474622345465,1,1,1,1,1,0,"beta"
1493,6,0.2,0.000591038716351485,1,1,1,1,1,0,"beta"
1497,6,0.2,8.26065238121416e-07,1,1,1,1,1,0,"beta"
1501,6,0.2,2.17576178714522e-10,1,1,1,1,1,0,"beta"
1505,6,0.2,3.11577388953081e-05,1,1,1,1,1,0,"beta"
1509,6,0.2,0.000548450404110773,1,1,1,1,1,0,"beta"
1513,6,0.2,0.000566393461653222,1,1,1,1,1,0,"beta"
1517,6,0.2,3.07965672870619e-08,1,1,1,1,1,0,"beta"
1521,6,0.2,0.00692924878517547,1,1,1,1,1,0,"beta"
1525,6,0.2,0.00100435871425306,1,1,1,1,1,0,"beta"
1529,6,0.2,6.17231833128612e-08,1,1,1,1,1,0,"beta"
1533,6,0.2,9.79741254049028e-10,1,1,1,1,1,0,"beta"
1537,6,0.2,0.000232086767532265,1,1,1,1,1,0,"beta"
1541,6,0.2,3.03723481971401e-06,1,1,1,1,1,0,"beta"
1545,6,0.2,3.03422961940579e-06,1,1,1,1,1,0,"beta"
